timestamp,core_1,core_2,core_3,core_4
1715520432.757,0.0,0.0,0.0,0.0
1715520433.007,0.0,3.8,0.0,0.0
1715520433.258,0.0,0.0,0.0,0.0
1715520433.509,0.0,0.0,0.0,0.0
1715520433.759,0.0,0.0,0.0,0.0
1715520434.01,0.0,0.0,3.8,0.0
1715520434.26,60.0,15.4,8.3,12.5
1715520434.511,100.0,31.0,17.4,23.1
1715520434.762,100.0,31.0,20.0,16.7
1715520435.012,100.0,27.6,33.3,23.1
1715520435.263,100.0,23.1,13.0,16.7
1715520435.514,100.0,29.6,31.0,16.7
1715520435.765,100.0,32.1,29.6,17.4
1715520436.015,100.0,27.6,25.9,24.0
1715520436.266,100.0,23.1,26.9,16.7
1715520436.516,100.0,23.1,16.7,13.0
1715520436.767,100.0,20.0,16.7,16.7
1715520437.018,100.0,25.9,25.9,31.0
1715520437.268,100.0,25.9,29.6,16.7
1715520437.519,100.0,25.9,25.9,16.7
1715520437.77,100.0,23.1,28.6,31.0
1715520438.02,100.0,20.0,23.1,20.0
1715520438.271,100.0,20.0,20.8,32.1
1715520438.522,100.0,28.6,9.1,20.0
1715520438.772,100.0,26.9,23.1,37.9
1715520439.023,100.0,23.1,31.0,16.7
1715520439.274,36.0,8.0,8.3,4.2
1715520439.524,0.0,0.0,0.0,0.0
1715520439.775,3.8,0.0,0.0,0.0
1715520440.025,0.0,3.8,0.0,0.0
1715520440.276,0.0,4.0,0.0,0.0
1715520440.526,0.0,0.0,0.0,0.0
1715520440.777,0.0,0.0,0.0,0.0
1715520441.028,38.5,14.3,8.0,4.2
1715520441.278,100.0,15.4,26.9,28.6
1715520441.529,100.0,26.7,24.0,31.0
1715520441.78,100.0,26.7,26.9,20.0
1715520442.03,100.0,20.7,26.9,28.6
1715520442.281,100.0,29.0,13.0,25.9
1715520442.532,100.0,18.5,24.0,4.5
1715520442.782,100.0,18.5,28.6,16.7
1715520443.033,100.0,24.1,32.1,23.1
1715520443.284,100.0,12.0,20.8,16.7
1715520443.534,100.0,23.3,16.7,12.5
1715520443.785,100.0,24.1,26.9,16.7
1715520444.036,100.0,24.1,23.1,20.0
1715520444.286,100.0,24.1,26.9,27.6
1715520444.537,100.0,24.1,23.1,25.9
1715520444.788,100.0,26.7,20.8,23.1
1715520445.038,100.0,29.0,24.0,16.7
1715520445.289,100.0,26.7,9.1,13.0
1715520445.54,100.0,20.7,13.6,23.1
1715520445.79,100.0,18.5,26.9,20.0
1715520446.041,61.5,14.8,15.4,8.3
1715520446.291,0.0,0.0,0.0,0.0
1715520446.542,3.8,4.0,3.8,0.0
1715520446.793,0.0,0.0,0.0,0.0
1715520447.043,0.0,0.0,0.0,0.0
1715520447.294,0.0,0.0,0.0,0.0
1715520447.544,0.0,0.0,0.0,0.0
1715520447.795,12.5,7.7,0.0,0.0
1715520448.045,100.0,23.1,25.9,15.4
1715520448.296,100.0,20.0,36.7,15.4
1715520448.547,100.0,16.7,31.0,12.0
1715520448.797,100.0,25.9,30.8,13.0
1715520449.048,100.0,31.0,28.6,12.0
1715520449.299,100.0,31.0,4.8,12.0
1715520449.549,100.0,31.0,29.6,21.4
1715520449.8,100.0,31.0,13.0,8.3
1715520450.051,100.0,16.7,9.5,12.0
1715520450.301,100.0,31.0,20.0,16.0
1715520450.552,100.0,31.0,13.6,21.4
1715520450.802,100.0,23.1,13.0,18.5
1715520451.053,100.0,23.1,17.4,12.0
1715520451.304,100.0,23.1,20.0,12.0
1715520451.554,100.0,32.3,0.0,15.4
1715520451.805,100.0,16.7,17.4,16.0
1715520452.056,100.0,28.6,28.6,26.7
1715520452.306,100.0,23.1,13.6,12.0
1715520452.557,100.0,20.0,16.7,8.3
1715520452.807,80.8,19.2,8.7,8.0
1715520453.058,0.0,0.0,3.8,0.0
1715520453.309,0.0,3.8,0.0,3.8
1715520453.559,0.0,0.0,0.0,0.0
1715520453.81,3.8,3.8,0.0,0.0
1715520454.06,0.0,0.0,0.0,0.0
1715520454.311,0.0,0.0,0.0,0.0
1715520454.561,0.0,0.0,0.0,0.0
1715520454.812,96.2,13.0,25.0,12.5
1715520455.063,100.0,25.9,20.0,27.6
1715520455.313,100.0,28.6,19.2,13.0
1715520455.564,100.0,31.0,20.0,22.2
1715520455.815,100.0,20.0,16.7,22.2
1715520456.066,100.0,25.0,19.2,19.2
1715520456.316,100.0,26.9,20.0,23.1
1715520456.567,100.0,28.6,19.2,19.2
1715520456.818,100.0,20.0,12.5,8.7
1715520457.068,100.0,25.9,25.9,22.2
1715520457.319,100.0,23.1,16.0,16.7
1715520457.57,100.0,20.0,16.7,12.5
1715520457.82,100.0,28.6,22.2,19.2
1715520458.071,100.0,20.0,16.0,27.6
1715520458.322,100.0,20.0,19.2,16.0
1715520458.572,100.0,25.9,13.0,16.7
1715520458.823,100.0,20.0,16.7,16.7
1715520459.074,100.0,16.7,8.7,22.2
1715520459.324,100.0,37.5,19.2,22.2
1715520459.575,100.0,25.9,25.9,27.6
1715520459.825,0.0,3.8,0.0,0.0
1715520460.076,0.0,0.0,0.0,0.0
1715520460.327,0.0,0.0,0.0,0.0
1715520460.577,0.0,0.0,0.0,0.0
1715520460.828,0.0,0.0,3.8,0.0
1715520461.078,0.0,0.0,0.0,0.0
1715520461.329,0.0,0.0,0.0,0.0
1715520461.579,83.3,12.0,22.2,8.3
1715520461.83,100.0,27.6,20.0,12.0
1715520462.081,100.0,25.0,28.6,15.4
1715520462.331,100.0,24.1,31.0,4.3
1715520462.582,100.0,22.2,20.0,12.0
1715520462.833,100.0,29.0,19.2,8.3
1715520463.084,100.0,19.2,13.0,21.4
1715520463.334,100.0,22.2,28.6,18.5
1715520463.585,100.0,19.2,16.7,15.4
1715520463.836,100.0,22.2,23.1,15.4
1715520464.086,100.0,19.2,20.0,18.5
1715520464.337,100.0,24.1,25.9,21.4
1715520464.588,100.0,32.3,16.0,8.3
1715520464.838,100.0,25.0,13.0,8.0
1715520465.089,100.0,21.4,28.6,12.0
1715520465.34,100.0,22.2,16.7,8.3
1715520465.59,100.0,23.1,25.9,18.5
1715520465.841,100.0,16.0,20.0,12.5
1715520466.092,100.0,27.6,25.0,18.5
1715520466.342,100.0,18.5,25.9,4.3
1715520466.593,19.2,4.0,0.0,3.8
1715520466.843,0.0,0.0,0.0,0.0
1715520467.094,0.0,0.0,0.0,0.0
1715520467.345,0.0,0.0,4.0,0.0
1715520467.595,3.8,0.0,0.0,4.0
1715520467.846,0.0,0.0,0.0,0.0
1715520468.096,0.0,0.0,0.0,3.8
1715520468.347,68.0,17.2,4.5,4.3
1715520468.598,100.0,26.7,13.0,16.7
1715520468.848,100.0,31.3,26.9,23.1
1715520469.099,100.0,14.8,9.5,27.6
1715520469.35,100.0,26.7,13.0,22.2
1715520469.6,100.0,28.1,25.9,16.7
1715520469.851,100.0,31.2,16.7,16.0
1715520470.102,100.0,20.7,20.0,16.0
1715520470.352,100.0,23.3,23.1,12.5
1715520470.603,100.0,21.4,16.7,25.0
